SourceField,TargetField,DataType
Id,ContactId,STRING
AccountId,AccountId,STRING
AssistantName,AssistantName,STRING
AssistantPhone,AssistantPhone,STRING
Birthdate,Birthdate,DATE
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Department,Department,STRING
Description,Description,STRING
Email,Email,STRING
EmailBouncedDate,EmailBouncedDatestamp,TIMESTAMP
EmailBouncedReason,EmailBouncedReason,STRING
Fax,Fax,STRING
FirstName,FirstName,STRING
HomePhone,HomePhone,STRING
IndividualId,IndividualId,STRING
IsEmailBounced,IsEmailBounced,BOOL
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
LastActivityDate,LastActivityDate,DATE
LastCURequestDate,LastCURequestDatestamp,TIMESTAMP
LastCUUpdateDate,LastCUUpdateDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastName,LastName,STRING
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LeadSource,LeadSource,STRING
MailingCity,MailingCity,STRING
MailingCountry,MailingCountry,STRING
MailingGeocodeAccuracy,MailingGeocodeAccuracy,STRING
MailingLatitude,MailingLatitude,STRING
MailingLongitude,MailingLongitude,STRING
MailingPostalCode,MailingPostalCode,STRING
MailingState,MailingState,STRING
MailingStreet,MailingStreet,STRING
MasterRecordId,MasterRecordId,STRING
MobilePhone,MobilePhone,STRING
Name,Name,STRING
OtherCity,OtherCity,STRING
OtherCountry,OtherCountry,STRING
OtherGeocodeAccuracy,OtherGeocodeAccuracy,STRING
OtherLatitude,OtherLatitude,STRING
OtherLongitude,OtherLongitude,STRING
OtherPhone,OtherPhone,STRING
OtherPostalCode,OtherPostalCode,STRING
OtherState,OtherState,STRING
OtherStreet,OtherStreet,STRING
OwnerId,OwnerId,STRING
Phone,Phone,STRING
PhotoUrl,PhotoUrl,STRING
RecordTypeId,RecordTypeId,STRING
ReportsToId,ReportsToId,STRING
Salutation,Salutation,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
Title,Title,STRING
